variant	dataset	spec_frozen	runs_dir	status	exit_code	cost_usd
direct-structured	bookreview	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/bookreview.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/bookreview	ok	0	null
direct-structured	agnews	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/agnews.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/agnews	ok	0	null
direct-structured	bookreview	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/bookreview.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/bookreview	skip	0	n/a
direct-structured	crmarenapro	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/crmarenapro.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/crmarenapro	ok	0	null
direct-structured	DEPS_DEV_V1	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/DEPS_DEV_V1.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/DEPS_DEV_V1	ok	0	null
direct-structured	GITHUB_REPOS	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/GITHUB_REPOS.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/GITHUB_REPOS	ok	0	null
direct-structured	googlelocal	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/googlelocal.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/googlelocal	ok	0	null
direct-structured	agnews	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/agnews.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/agnews	skip	0	n/a
direct-structured	bookreview	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/bookreview.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/bookreview	skip	0	n/a
direct-structured	crmarenapro	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/crmarenapro.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/crmarenapro	skip	0	n/a
direct-structured	DEPS_DEV_V1	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/DEPS_DEV_V1.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/DEPS_DEV_V1	skip	0	n/a
direct-structured	GITHUB_REPOS	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/GITHUB_REPOS.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/GITHUB_REPOS	skip	0	n/a
direct-structured	googlelocal	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/googlelocal.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/googlelocal	skip	0	n/a
direct-structured	music_brainz_20k	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/music_brainz_20k.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/music_brainz_20k	run_failed	30	null
direct-structured	PANCANCER_ATLAS	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/PANCANCER_ATLAS.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/PANCANCER_ATLAS	ok	0	null
direct-structured	PATENTS	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/PATENTS.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/PATENTS	ok	0	null
direct-structured	stockindex	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/stockindex.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/stockindex	ok	0	null
direct-structured	stockmarket	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/stockmarket.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/stockmarket	ok	0	null
direct-structured	yelp	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/yelp.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/yelp	ok	0	null
direct-structured	music_brainz_20k	/Users/clkao/git/razorback/.worktrees/spacedock-ensign-goal1-direct-structured-dab-opus47-xhigh/examples/specs/goal1/direct-structured/music_brainz_20k.frozen.yaml	_runs/goal1-direct-structured-redo-2026-05-24/direct-structured/music_brainz_20k	ok	0	null
